Bonfire	Location	Boss Bonfire
Firelink Shrine	Cemetery of Ash	FALSE
Cemetary of Ash	Cemetery of Ash	FALSE
Iudex Gundyr 	Cemetery of Ash	TRUE
Untended Graves	Cemetery of Ash	FALSE
Champion Gundyr 	Cemetery of Ash	TRUE
High Wall of Lothric	High Wall of Lothric	FALSE
Tower on the Wall	High Wall of Lothric	FALSE
Vordt of the Boreal Valley 	High Wall of Lothric	TRUE
Dancer of the Boreal Valley 	High Wall of Lothric	TRUE
Oceiros, the Consumed King 	High Wall of Lothric	TRUE
Foot of the High Wall	Undead Settlement	FALSE
Undead Settlement	Undead Settlement	FALSE
Cliff Underside	Undead Settlement	FALSE
Dilapidated Bridge	Undead Settlement	FALSE
Pit of Hollows	Undead Settlement	FALSE
Road of Sacrifices	Road of Sacrifices	FALSE
Halfway Fortress	Road of Sacrifices	FALSE
Crucifixion Woods	Road of Sacrifices	FALSE
Crystal Sage 	Road of Sacrifices	TRUE
Farron Keep	Road of Sacrifices	FALSE
Keep Ruins	Road of Sacrifices	FALSE
Farron Keep Perimeter	Road of Sacrifices	FALSE
Old Wolf of Farron	Road of Sacrifices	FALSE
Abyss Watchers 	Road of Sacrifices	TRUE
Cathedral of the Deep	Cathedral of the Deep	FALSE
Cleansing Chapel	Cathedral of the Deep	FALSE
Rosaria's Bed Chamber	Cathedral of the Deep	FALSE
Deacons of the Deep 	Cathedral of the Deep	TRUE
Catacombs of Carthus	Catacombs of Carthus	FALSE
High Lord Wolnir 	Catacombs of Carthus	TRUE
Abandoned Tomb	Catacombs of Carthus	FALSE
Old King's Antechamber	Catacombs of Carthus	FALSE
Demon Ruins	Catacombs of Carthus	FALSE
Old Demon King 	Catacombs of Carthus	TRUE
Irithyll of the Boreal Valley	Irithyll of the Boreal Valley	FALSE
Central Irithyll	Irithyll of the Boreal Valley	FALSE
Church of Yorshka	Irithyll of the Boreal Valley	FALSE
Distant Manor	Irithyll of the Boreal Valley	FALSE
Pontiff Sulyvahn 	Irithyll of the Boreal Valley	TRUE
Water Reserve	Irithyll of the Boreal Valley	FALSE
Anor Londo	Irithyll of the Boreal Valley	FALSE
Prison Tower	Irithyll of the Boreal Valley	FALSE
Aldrich, Devourer of Gods 	Irithyll of the Boreal Valley	TRUE
Irithyll Dungeon	Irithyll Dungeon	FALSE
Profaned Capital	Irithyll Dungeon	FALSE
Yhorm the Giant 	Irithyll Dungeon	TRUE
Lothric Castle	Lothric Castle	FALSE
Dragon Barracks	Lothric Castle	FALSE
Dragonslayer Armor 	Lothric Castle	TRUE
Grand Archives	Lothric Castle	FALSE
Twin Princes 	Lothric Castle	TRUE
Archdragon Peak	Archdragon Peak	FALSE
Dragon-Kin Mausoleum	Archdragon Peak	FALSE
Great Belfry	Archdragon Peak	FALSE
Nameless King 	Archdragon Peak	TRUE
Flameless Shrine	Kiln of the First Flame	FALSE
Kiln of the First Flame 	Kiln of the First Flame	TRUE
Snowfield	The Painted World of Ariandel	FALSE
Rope Bridge Cave	The Painted World of Ariandel	FALSE
Corvian Settlement	The Painted World of Ariandel	FALSE
Snowy Mountain Pass	The Painted World of Ariandel	FALSE
Ariandel Chapel	The Painted World of Ariandel	FALSE
Sister Friede	The Painted World of Ariandel	FALSE
Depth of the Painting	The Painted World of Ariandel	FALSE
Champion's Gravetender	The Painted World of Ariandel	TRUE
The Dreg Heap	The Dreg Heap	FALSE
Earthen Peak Ruins	The Dreg Heap	FALSE
Within the Earthen Peak Ruins	The Dreg Heap	FALSE
The Demon Prince 	The Dreg Heap	TRUE
Mausoleum Lookout	The Ringed City	FALSE
Ringed Inner Wall	The Ringed City	FALSE
Ringed City Streets	The Ringed City	FALSE
Shared Grave	The Ringed City	FALSE
Church of Filianore	The Ringed City	FALSE
Darkeater Midir 	The Ringed City	TRUE
Filianore's Rest	The Ringed City	FALSE
Slave Knight Gael 	The Ringed City	TRUE
